Candidate Id,Location,Current Annual Salary,Current Salary Currency ,Current Salary Type,Expected Annual Salary,Expected Salary Currency,Total Experience in years,Current Industry,Current Fuction,Relocation Cities ,Notice Period in days,Current Job Title,Data Source
A13380,NCR,,,ANNUAL,60,INR,9,"Banking,Financial Services,Broking",,,,Team Manager Insurance,INDEED.COM
A9339,Vadodara,8,INR,ANNUAL,8,INR,3,"Energy and Utilities | Telecommunications#Manufacturing | Electrical/Electronic Manufacturing#Ads, PR, Events | Marketing and Advertising",Business Development#Manufacturing#Project Management,,30,Marketing Executive,INTERNAL DATABASE
A10220,Noida,11,INR,ANNUAL,11,INR,0.7,IT | Computer Software#Manufacturing | Mechanical or Industrial Engineering,IT Software,,90,Software Developer,INTERNAL DATABASE
A8162,Hyderabad,8,INR,ANNUAL,8,INR,3.84,"IT | Information Services, IT | Computer Software","Business Development, IT Software",,90,Senior systems engineer,LINKEDIN
A13729,Hyderabad,9.6,,ANNUAL,11,INR,2.5,IT | Computer Software,IT Software#Research,,30,Software Developer,LINKEDIN
A8673,Bengaluru/Bangalore,16,INR,ANNUAL,16,INR,9.13,IT | Information Technology and Services,"Product Management, support, Customer Service, BPO",,90,Senior Product Support Engineer,INTERNAL DATABASE
A11701,Bengaluru,10,INR,ANNUAL,10,INR,2,IT | Computer Software#IT | Information Technology and Services#IT | Information Services,"IT Software#Financial Services, Banking, Investments, Insurance - specific#Project Management",,60,Java Developer,INDEED.COM
A11798,Kolkata,2.4,,ANNUAL,2.4,INR,1.75,"ITSoftware,Software Services",IT Software,,,Software Developer,INDEED.COM
A9150,Mumbai,10,INR,ANNUAL,10,INR,28,Consumer | Consumer Goods#Medicine | Hospital & Health Care#Transport | Logistics and Supply Chain,"Health Care Provider - specific#Marketing#Retail, wholesale - specific",,30,Sales manager,INTERNAL DATABASE
A8450,Mumbai,27,INR,ANNUAL,27,INR,8.19,"Transport | Automotive, Education | Higher Education, Public Sector | Civic & Social Organization","Strategy, Planning, Program Management, Project Management",,45,Project Director,INTERNAL DATABASE
A13530,Jabalpur,,,ANNUAL,,,,Manufacturing | Mechanical or Industrial Engineering,,,,,LINKEDIN
A10429,Jaipur,7.6,INR,ANNUAL,7.6,INR,10,"Construction | Civil Engineering#Construction | Engineering, Procurement, Construction",Management#Project Management,,30,ASST MANAGER,INTERNAL DATABASE
A11342,Hyderabad,,,ANNUAL,,INR,2.06,"IT | Computer Software,IT | Internet","Customer Service, BPO,Customer Service, BPO,Customer Service, BPO",,,Customer Service Executive (Non-voice),MONSTERDB
A9008,Mumbai,7,INR,ANNUAL,7,INR,8,Construction | Facility Management#Education | E-Learning#Education | Professional Training & Coaching,"Telecom, ISP#Training#Financial Services, Banking, Investments, Insurance - specific",,15,Reseracher,INTERNAL DATABASE
A11609,Hyderabad,4,INR,ANNUAL,4,INR,9,Energy and Utilities | Environmental Services,Production#Quality Assurance#Other,,30,Service head,INTERNAL DATABASE
A8170,Hyderabad,12,INR,ANNUAL,12,INR,6.23,"IT | Information Services, IT | Information Technology and Services","Analytics, Business Intelligence, Design, Creative, User Experience",,90,Module Lead,DIRECT
A11488,Chennai,2.3,,ANNUAL,2.3,INR,2,"ITSoftware,Software Services",IT Software,,,Java Developer,INDEED.COM
A11540,Bangalore,7,INR,ANNUAL,7,INR,2.7,IT | Computer Software#IT | Information Technology and Services,IT Software,,90,Senior Systems engineer,INDEED.COM
A11889,New Delhi,15,,ANNUAL,22,INR,4,IT | Computer Software#IT | Information Technology and Services,IT Software,,30,SMTS,INDEED
A12213,Bangalore,7,INR,ANNUAL,7,INR,2.5,IT | Computer Software,IT Software#Engineering,,30,Software Engineer,LINKEDIN
A14341,Vellore,36,INR,MONTHLY,42,INR,2.4,IT | Information Technology and Services,"Design, Creative, User Experience",,15,Web designer,DIRECT
A8088,Noida,8,INR,ANNUAL,8,INR,6.28,"IT | Information Services, IT | Information Technology and Services",IT Software,,30,UI Developer,DIRECT
A14169,Gurgaon,375,INR,ANNUAL,6,INR,4,IT | Computer Software#IT | Information Technology and Services,IT Software,,30,Junior Software Engineer,DIRECT
A12045,Bengaluru,5.5,,ANNUAL,5.5,INR,3.58,"ITSoftware,Software Services",,,,Software Engineer,INDEED.COM
A13569,Mandsaur,,,ANNUAL,,,,"Manufacturing | Electrical,Electronic Manufacturing",,,,Engineer,LINKEDIN
A12978,Bengaluru,,,ANNUAL,5,INR,0,IT | Computer Software#IT | Computer & Network Security#IT | Computer Networking,IT Software,,0,na,DIRECT
A7425,Mumbai,6.5,INR,ANNUAL,6.5,INR,5.06,Financial | Business and financial operations,"Product Management, Production",,30,Sr. Operations Analyst,INTERNAL DATABASE
A9259,Delhi,12,INR,ANNUAL,12,INR,4,IT | Information Technology and Services,"Analytics, Business Intelligence#IT Software#Management",,15,Teaching Assistant,INTERNAL DATABASE
A11281,Lucknow,5,,ANNUAL,5,INR,2.05,"IT | Internet,Transport | Import and Export","IT Software,Sales",,,"Programmer, Systems Engineer",MONSTERDB
A9316,bhubaneswar,7,INR,ANNUAL,7,INR,10,"Construction | Engineering, Procurement, Construction#Construction | Iron and Steel#Manufacturing | Production","Purchasing#Strategy, Planning#Supply Chain, Logistics",,15,Asst Manager,INTERNAL DATABASE
A7915,Hyderabad,5.7,,ANNUAL,5.7,INR,6.28,"Transport , Automotive,IT , Computer Software",IT Software,,,"Software Engineer, Programmer",MONSTERDB
A8967,Srinagar,8,INR,ANNUAL,8,INR,10.99,"Leisure | Leisure, Travel & Tourism","Travel, Tours, Ticketing, Airlines - specific#TV, Films, Production, Broadcasting - specific#Marketing",,30,Managet,INTERNAL DATABASE
A7813,Hyderabad,8.2,,ANNUAL,8.2,INR,6.32,"IT , Computer Software,Energy and Utilities , Telecommunications",IT Software,,,"Software Engineer, Programmer",MONSTERDB
A13202,Hyderabad,,,ANNUAL,2.1,INR,3.01,"IT | Information Technology and Services,IT | Computer Software","Human Resources, Recruitment,IT Software",,,ERP,MONSTERDB
A9638,New Delhi,8,INR,ANNUAL,8,INR,6.5,IT | Information Technology and Services,"Analytics, Business Intelligence",,30,Data Analyst,INTERNAL DATABASE
A13476,Kalyan-Dombivali,,,ANNUAL,,,,Transport | Automotive,,,,,LINKEDIN
A9690,Delhi,7,INR,ANNUAL,7,INR,3,Consumer | Food & Beverages#Consumer | Retail#Financial | Business and financial operations,"Analytics, Business Intelligence#Design, Creative, User Experience#Strategy, Planning",,15,Business Analyst,INTERNAL DATABASE
A10756,Gadwal,5,INR,ANNUAL,5,INR,4.5,Energy and Utilities | Power#Energy and Utilities | Utilities,Project Management#Engineering#Electrical Solutions Design / Consulting,,15,Electrical Engineer,INTERNAL DATABASE
A10517,Hyderabad,9,INR,ANNUAL,9,INR,10,"Construction | Construction#Construction | Engineering, Procurement, Construction#Construction | Iron and Steel",Business Development#Project Management#Public Relations,,30,Dy manager in Business development,INTERNAL DATABASE
A7577,Thiruvananthapuram,15,INR,ANNUAL,15,INR,25.48,"IT | Computer & Network Security, IT | Computer Software, Transport | Aviation & Aerospace","Program Management, Project Design, Business Development",,30,OPERATIONS MANAGER,INTERNAL DATABASE
A13290,Gurgaon,21,,ANNUAL,26,INR,10,IT | Computer Software,IT Software,,60,Principal Full stack Engineer,INDEED
A10469,Bobbili,6,INR,ANNUAL,6,INR,4,"Construction | Engineering, Procurement, Construction",Program Management,,30,Engineer,INTERNAL DATABASE
A11664,Bengaluru,2.4,,ANNUAL,2.4,INR,2,"ITSoftware,Software Services",IT Software,,,Java Developer,INDEED.COM
A8289,"Hyderabad, Secunderabad",7.84,,ANNUAL,7.84,INR,8.21,"Internet,Dot com,ISP",IT Software  Software Products & Services,"Hyderabad, Secunderabad",,Sr. UI Designer,TIMES JOBS
A10720,Bhubaneswar,8,INR,ANNUAL,8,INR,6,Construction | Facility Management#Consumer | Retail#Energy and Utilities | Power,Administrative#Management#Project Management,,15,Operation Manager,INTERNAL DATABASE
A11786,NCR,3.4,,ANNUAL,3.4,INR,2.33,"ITSoftware,Software Services",,,,Software Developer,INDEED.COM
A8187,Mumbai,3,INR,ANNUAL,3,INR,3.21,"Consumer | Retail, Medicine | Pharmaceuticals, Education | Higher Education","Human Resources, Recruitment",,10,hr and admin manager,INTERNAL DATABASE
A12246,Bangalore,3,INR,ANNUAL,3,INR,2.4,IT | Computer Software#IT | Outsourcing/Offshoring#Education | Professional Training & Coaching,Engineering#IT Software,,15,Software Developer,INDEED.COM
A9099,Mumbai,8,INR,ANNUAL,8,INR,10,Financial | Business and financial operations#Public Sector | Government Administration#Professional Services | Management Consulting,"Analytics, Business Intelligence#Business Development#General Business",,30,Placements Executive,INTERNAL DATABASE
A9866,New Delhi,8.5,INR,ANNUAL,8.5,INR,3.5,Transport | Airlines/Aviation#Professional Services | Human Resources,"Human Resources, Recruitment#Training#Engineering",,30,Software Engineer,INTERNAL DATABASE
A9270,Pune,9,INR,ANNUAL,9,INR,12,Consumer | Retail#Consumer | Luxury Goods & Jewelry#IT | Computer Software,"Consulting#Analytics, Business Intelligence#Marketing",,30,Digital Marketing Manager,INTERNAL DATABASE
A12435,Bengaluru,4.7,,ANNUAL,4.7,INR,2.42,"ITSoftware,Software Services",,,,Software Developer,INDEED.COM
A12149,Mumbai,4.8,INR,ANNUAL,4.8,INR,3,IT | Computer & Network Security#IT | Information Technology and Services#Education | Primary/Secondary Education,IT Software#Education,,15,Software Developer and Cyber Security Analyst,LINKEDIN
A9652,Bengaluru,7,,ANNUAL,7,INR,2.5,"ITSoftware,Software Services",,,,Senior Data Specialist - CTO(R&D Team),INDEED.COM
A13556,Delhi,18,,ANNUAL,24,INR,14,"Entertainment, Media | Creative & Design#Entertainment, Media | Design#Entertainment, Media | Graphic Design","Design, Creative, User Experience#Quality Assurance",,0,UX Architect,INDEED
A12717,Bangalore,4,,ANNUAL,5.5,INR,1.7,IT | Computer Networking#IT | Computer Software#IT | Information Technology and Services,IT Software#Engineering,,60,System Engineer,INDEED.COM
A8263,"Hyderabad, Secunderabad",3,,ANNUAL,3,INR,2.21,"Software Services, Internet,Dot com,ISP, IT-Software",IT Software  Software Products & Services,"Hyderabad, Secunderabad,Chennai,Bengaluru, Bangalore",,User Interface designer,TIMES JOBS
A7801,Hyderabad,4.2,,ANNUAL,4.2,INR,5.34,"IT , Computer Software","Customer Service, BPO",,,,MONSTERDB
A10207,Surat,7.2,INR,ANNUAL,7.2,INR,0,Transport | Import and Export#Manufacturing | Plastics#Manufacturing | Machinery,"Manufacturing#Legal, Regulatory#Financial Services, Banking, Investments, Insurance - specific",,15,Credit analyst,INTERNAL DATABASE
A8232,"Hyderabad, Secunderabad",8.5,,ANNUAL,8.5,INR,9.21,Others,IT Software  Software Products & Services,Anywhere in India,,Currently Unemployed,TIMES JOBS
A13361,Noida,,,ANNUAL,9,INR,8,"ITSoftware,Software Services",IT Software,,,Team Leader IOS,INDEED.COM
A13225,Hyderabad,,,ANNUAL,6.05,INR,4,"Education | Education Management,IT | Computer Software","IT Software,Education",,,Trainer,MONSTERDB
A8172,Bengaluru/Bangalore,9,INR,ANNUAL,9,INR,5.22,"Financial | Banking, Construction | Building Materials, Manufacturing | Electrical/Electronic Manufacturing","Finance, Accounts, Accounting, Auditing",,60,Financial Analyst,INTERNAL DATABASE
A9944,Anywhere in south,7.1,,ANNUAL,7.1,INR,5.67,"ITSoftware,Software Services",IT Software,,,Java Developer,INDEED.COM
A9066,Mumbai,9,INR,ANNUAL,9,INR,8,Professional Services | Staffing and Recruiting#Other,"Human Resources, Recruitment",,15,Deputy Manager HR,INTERNAL DATABASE
A9565,Delhi,31,INR,ANNUAL,31,INR,13.5,"IT | Computer Software#IT | Information Technology and Services#Leisure | Leisure, Travel & Tourism",Consulting#IT Software#Project Management,,90,"Technical Manager (Service Delivery & Architecture),Senior Database Administrator,Sr. Software Engineer,SQL DBA,...more",INTERNAL DATABASE
A11155,Bengaluru,3.75,,ANNUAL,3.75,INR,1.25,"ITSoftware,Software Services",,,,Java Developer,INDEED.COM
A9559,Hyderabad,25,INR,ANNUAL,25,INR,20,IT | Information Technology and Services#IT | Information Services#IT | Computer Software,Project Management#Project Sales#Program Management,,90,"IT Project Manager,IT Project Manager,IT Project Manager,...more",INTERNAL DATABASE
A10450,Navi Mumbai,10,INR,ANNUAL,10,INR,10.7,"Construction | Civil Engineering#Construction | Construction#Construction | Engineering, Procurement, Construction",Project Management#Real Estate - specific#Engineering,,15,ASSISTANT MANGER,INTERNAL DATABASE
A12380,Bangalore,10,INR,ANNUAL,10,INR,2.6,Financial | Banking#Medicine | Hospital & Health Care,Engineering#Health Care Provider - specific#IT Software,,15,Assistant System Engineer,LINKEDIN
A8045,Hyderabad,5.45,,ANNUAL,5.45,INR,5.3,"IT , Computer Software","IT Software,Education",,,,MONSTERDB
A10965,Bengaluru,5.8,,ANNUAL,5.8,INR,5.08,"ITSoftware,Software Services",IT Software,,,Software Developer,INDEED.COM
A11675,Gurgaon,9,INR,ANNUAL,9,INR,0.8,IT | Computer Software#IT | Information Technology and Services,IT Software,,30,Software Developer,INDEED.COM
A14334,Mumbai,10,INR,ANNUAL,12,INR,14,"Entertainment, Media | Animation#IT | Information Technology and Services#Entertainment, Media | Creative & Design","Design, Creative, User Experience#Project Management#IT Software",,30,Digital Lead,LINKEDIN
A13115,Hyderabad,,,ANNUAL,,INR,3.03,IT | Computer Software,"IT Software,Financial Services, Banking, Investments, Insurance  specific",,,Software Engineer,MONSTERDB
A7770,Hyderabad,15,INR,ANNUAL,15,INR,5.88,IT | Computer Software,IT Software,,90,Technology Analyst,INDEED
A13252,Hyderabad,,,ANNUAL,,INR,3.09,"IT | Information Technology and Services,IT | Information Services","Customer Service, BPO,Customer Service, BPO,Customer Service, BPO,Other",,,Data Processing Executive,MONSTERDB
A8931,Coimbatore,7,INR,ANNUAL,7,INR,11,Energy and Utilities | Telecommunications#Energy and Utilities | Power#Manufacturing | Machinery,"Engineering#Project Management#Telecom, ISP",,30,Circle Service Manager,INTERNAL DATABASE
A8977,Tumkur,5,INR,ANNUAL,5,INR,1.98,Manufacturing | Mechanical or Industrial Engineering,Engineering#Manufacturing#Production,,15,initially as a executive and then Branch Head,INTERNAL DATABASE
A11126,Mysore,3,,ANNUAL,3,INR,2.5,"ITSoftware,Software Services",,,,Software Engineer,INDEED.COM
A10456,Kolkata,7,INR,ANNUAL,7,INR,5,"Construction | Engineering, Procurement, Construction#Energy and Utilities | Power#Energy and Utilities | Oil & Energy",Business Development#Management#Project Management,,15,Project Manager,INTERNAL DATABASE
A9394,gurgaon,30,INR,ANNUAL,30,INR,12,IT | Information Services#IT | Information Technology and Services#IT | Computer Software,Consulting#Management#Project Management,,30,Project Lead,INTERNAL DATABASE
A13714,Bengaluru,,,ANNUAL,,,,IT | Computer Software,,,,Software Engineer,LINKEDIN
A12368,Bengaluru,5.95,,ANNUAL,5.95,INR,2,"ITSoftware,Software Services",,,,Engineer,INDEED.COM
A14130,Mumbai,,,ANNUAL,,,3,Any,Finance & Accounts,,,"Finance Assistant, Chartered Accountant (CPA)",MONSTERDB_UPLOAD
A8127,Hyderabad,6.8,INR,ANNUAL,6.8,INR,4.45,"IT | Computer Software, Professional Services | Market Research","Web Application, Front End Develoment, Survey Programming",,60,Senior Programmer,LINKEDIN
A11981,Mumbai,11,,ANNUAL,11,INR,7.02,"Financial | Banking,IT | Computer Software","IT Software,Financial Services, Banking, Investments, Insurance  specific",,,Other Banking,MONSTERDB
